"word","meaning","pos","belong","pron_uk","pron_us"
"cheer","cheer","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/cheer/cheer__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/cheer/cheer__us_1.ogg"
"cheer","cheer","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/cheer/cheer__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/cheer/cheer__us_1.ogg"
"cheerful","cheerful","adjective","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/cheer/cheerful__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/cheer/cheerful__us_3.ogg"
"cheese","cheese","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/chees/cheese__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/chees/cheese__us_1.ogg"
"chef","chef","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/chef_/chef__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/chef_/chef__us_1.ogg"
"chemical","chemical","adjective","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/chemi/chemical__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/chemi/chemical__us_2.ogg"
"chemical","chemical","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/chemi/chemical__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/chemi/chemical__us_2.ogg"
"chemistry","chemistry","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/chemi/chemistry__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/chemi/chemistry__us_1.ogg"
"chest","chest","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/che/chest/chest__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/che/chest/chest__us_1.ogg"
"chicken","chicken","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chi/chick/chicken__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chi/chick/chicken__us_2.ogg"
"chief","chief","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chi/chief/chief__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chi/chief/chief__us_1.ogg"
"chief","chief","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chi/chief/chief__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chi/chief/chief__us_1.ogg"
"child","child","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chi/child/child__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chi/child/child__us_1.ogg"
"childhood","childhood","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chi/child/childhood__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chi/child/childhood__us_3.ogg"
"chip","chip","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chi/chip_/chip__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chi/chip_/chip__us_1.ogg"
"chocolate","chocolate","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cho/choco/chocolate__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cho/choco/chocolate__us_2_rr.ogg"
"choice","choice","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cho/choic/choice__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cho/choic/choice__us_1.ogg"
"choir","choir","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cho/choir/choir__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cho/choir/choir__us_1.ogg"
"choose","choose","verb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cho/choos/choose__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cho/choos/choose__us_1.ogg"
"chop","chop","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cho/chop_/chop__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cho/chop_/chop__us_1.ogg"
"chronic","chronic","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chr/chron/chronic__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chr/chron/chronic__us_1.ogg"
"chunk","chunk","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chu/chunk/chunk__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chu/chunk/chunk__us_1.ogg"
"church","church","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/chu/churc/church__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/chu/churc/church__us_1.ogg"
"cigarette","cigarette","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cig/cigar/cigarette__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cig/cigar/cigarette__us_2_rr.ogg"
"cinema","cinema","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cin/cinem/cinema__gb_4.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cin/cinem/cinema__us_3.ogg"
"circle","circle","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cir/circl/circle__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circl/circle__us_2.ogg"
"circle","circle","verb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cir/circl/circle__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circl/circle__us_2.ogg"
"circuit","circuit","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cir/circu/circuit__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circu/circuit__us_1.ogg"
"circulate","circulate","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cir/circu/circulate__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circu/circulate__us_1.ogg"
"circulation","circulation","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cir/circu/circulation__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circu/circulation__us_1.ogg"
"circumstance","circumstance","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cir/circu/circumstance__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cir/circu/circumstance__us_3.ogg"
"cite","cite","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cit/cite_/cite__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cit/cite_/cite__us_1.ogg"
"citizen","citizen","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cit/citiz/citizen__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cit/citiz/citizen__us_7.ogg"
"citizenship","citizenship","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cit/citiz/citizenship__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cit/citiz/citizenship__us_1.ogg"
"city","city","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cit/city_/city__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cit/city_/city__us_1.ogg"
"civic","civic","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/civ/civic/civic__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civic/civic__us_1.ogg"
"civil","civil","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/civ/civil/civil__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civil/civil__us_3.ogg"
"civilian","civilian","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/civ/civil/civilian__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civil/civilian__us_1.ogg"
"civilian","civilian","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/civ/civil/civilian__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civil/civilian__us_1.ogg"
"civilization","civilization","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/civ/civil/civilization__gb_5.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/civ/civil/civilization__us_1.ogg"
"claim","claim","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/claim/claim__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/claim/claim__us_1.ogg"
"claim","claim","verb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/claim/claim__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/claim/claim__us_1.ogg"
"clarify","clarify","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/clari/clarify__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/clari/clarify__us_1.ogg"
"clarity","clarity","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/clari/clarity__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/clari/clarity__us_1.ogg"
"clash","clash","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/clash/clash__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/clash/clash__us_1.ogg"
"class","class","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/class/class__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/class/class__us_1.ogg"
"classic","classic","adjective","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/class/classic__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/class/classic__us_2.ogg"
"classic","classic","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/class/classic__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/class/classic__us_2.ogg"
"classical","classical","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/class/classical__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/class/classical__us_2.ogg"
"classification","classification","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/class/classification__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/class/classification__us_1.ogg"
"classify","classify","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/class/classify__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/class/classify__us_1.ogg"
"classroom","classroom","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/class/classroom__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/class/classroom__us_1_rr.ogg"
"clause","clause","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cla/claus/clause__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cla/claus/clause__us_1.ogg"
"clean","clean","adjective","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/clean/clean__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clean/clean__us_1.ogg"
"clean","clean","verb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/clean/clean__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clean/clean__us_1.ogg"
"cleaning","cleaning","noun","","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/clean/cleaning__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clean/cleaning__us_1.ogg"
"clear","clear","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/clear/clear__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clear/clear__us_1.ogg"
"clear","clear","verb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/clear/clear__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clear/clear__us_1.ogg"
"clearly","clearly","adverb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/clear/clearly__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clear/clearly__us_2.ogg"
"clerk","clerk","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/clerk/clerk__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/clerk/clerk__us_1.ogg"
"clever","clever","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cle/cleve/clever__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cle/cleve/clever__us_1.ogg"
"click","click","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/click/click__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/click/click__us_1.ogg"
"click","click","verb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/click/click__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/click/click__us_1.ogg"
"client","client","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/clien/client__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/clien/client__us_1.ogg"
"cliff","cliff","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/cliff/cliff__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/cliff/cliff__us_1.ogg"
"climate","climate","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/clima/climate__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/clima/climate__us_1.ogg"
"climb","climb","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/climb/climb__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/climb/climb__us_1.ogg"
"climb","climb","verb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/climb/climb__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/climb/climb__us_1.ogg"
"cling","cling","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/cling/cling__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/cling/cling__us_1.ogg"
"clinic","clinic","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/clini/clinic__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/clini/clinic__us_1.ogg"
"clinical","clinical","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/clini/clinical__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/clini/clinical__us_1.ogg"
"clip","clip","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cli/clip_/clip__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cli/clip_/clip__us_1.ogg"
"clock","clock","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/clock/clock__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/clock/clock__us_1.ogg"
"close","close","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/close/close__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/close/close__us_2.ogg"
"close","close","adverb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/close/close__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/close/close__us_2.ogg"
"close","close","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/close/close__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/close/close__us_1.ogg"
"close","close","verb","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/close/close__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/close/close__us_1.ogg"
"closed","closed","adjective","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/close/closed__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/close/closed__us_1.ogg"
"closely","closely","adverb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/close/closely__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/close/closely__us_3.ogg"
"closure","closure","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/closu/closure__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/closu/closure__us_1.ogg"
"cloth","cloth","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/cloth/cloth__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/cloth/cloth__us_1.ogg"
"clothes","clothes","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/cloth/clothes__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/cloth/clothes__us_2_rr.ogg"
"clothing","clothing","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/cloth/clothing__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/cloth/clothing__us_1.ogg"
"cloud","cloud","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clo/cloud/cloud__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clo/cloud/cloud__us_1.ogg"
"club","club","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clu/club_/club__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clu/club_/club__us_1.ogg"
"clue","clue","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clu/clue_/clue__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clu/clue_/clue__us_1.ogg"
"cluster","cluster","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/clu/clust/cluster__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/clu/clust/cluster__us_1.ogg"
"coach","coach","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coa/coach/coach__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coa/coach/coach__us_1.ogg"
"coach","coach","verb","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coa/coach/coach__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coa/coach/coach__us_1.ogg"
"coal","coal","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coa/coal_/coal__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coa/coal_/coal__us_1.ogg"
"coalition","coalition","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coa/coali/coalition__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coa/coali/coalition__us_1.ogg"
"coast","coast","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coa/coast/coast__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coa/coast/coast__us_1.ogg"
"coastal","coastal","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coa/coast/coastal__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coa/coast/coastal__us_1.ogg"
"coat","coat","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coa/coat_/coat__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coa/coat_/coat__us_1.ogg"
"cocktail","cocktail","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coc/cockt/cocktail__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coc/cockt/cocktail__us_1.ogg"
"code","code","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cod/code_/code__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cod/code_/code__us_1.ogg"
"coffee","coffee","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cof/coffe/coffee__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cof/coffe/coffee__us_1_rr.ogg"
"cognitive","cognitive","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/cog/cogni/cognitive__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/cog/cogni/cognitive__us_1.ogg"
"coin","coin","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coi/coin_/coin__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coi/coin_/coin__us_1.ogg"
"coincide","coincide","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coi/coinc/coincide__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coi/coinc/coincide__us_1.ogg"
"coincidence","coincidence","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/coi/coinc/coincidence__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/coi/coinc/coincidence__us_1.ogg"
"cold","cold","adjective","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/cold_/cold__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/cold_/cold__us_1.ogg"
"cold","cold","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/cold_/cold__gb_3.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/cold_/cold__us_1.ogg"
"collaborate","collaborate","verb","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colla/collaborate__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colla/collaborate__us_1.ogg"
"collaboration","collaboration","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colla/collaboration__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colla/collaboration__us_1.ogg"
"collapse","collapse","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colla/collapse__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colla/collapse__us_1.ogg"
"collapse","collapse","verb","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colla/collapse__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colla/collapse__us_1.ogg"
"colleague","colleague","noun","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colle/colleague__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colle/colleague__us_1.ogg"
"collect","collect","verb","a2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colle/collect__gb_2.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colle/collect__us_1.ogg"
"collection","collection","noun","b1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colle/collection__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colle/collection__us_1.ogg"
"collective","collective","adjective","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colle/collective__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colle/collective__us_1.ogg"
"collector","collector","noun","b2","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colle/collector__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colle/collector__us_1.ogg"
"college","college","noun","a1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colle/college__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colle/college__us_1.ogg"
"collision","collision","noun","c1","https://www.oxfordlearnersdictionaries.com/media/english/uk_pron_ogg/c/col/colli/collision__gb_1.ogg","https://www.oxfordlearnersdictionaries.com/media/english/us_pron_ogg/c/col/colli/collision__us_1.ogg"
